,cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
124,12,DCC,1.31645184572169e-09,1.47007198925707,0.672,0.47,3.29981819648599e-05
125,12,AKAP12,5.91782396948913e-38,1.40447707913716,0.806,0.336,1.48336175619215e-33
126,12,HS3ST4,2.70636575142382e-10,1.36727889788196,0.328,0.163,6.78377639251894e-06
127,12,TIMP3,2.55636666045732e-35,1.16984699892517,0.348,0.085,6.40778867110232e-31
128,12,KAZN,1.67645932193391e-44,1.10826925596779,0.945,0.45,4.20221293635953e-40
129,12,FGFR1,2.41648010490072e-64,1.10046463732589,0.701,0.199,6.05714903094413e-60
130,12,SEMA5A,1.28734354838009e-33,1.08732084346046,0.408,0.115,3.22685533836953e-29
131,13,APOLD1,7.58845146920928e-224,3.17957446781966,0.957,0.147,1.902121245272e-219
132,13,DIAPH3,1.91971542894513e-162,2.73815804727712,0.995,0.26,4.81195869419387e-158
133,13,ASPM,1.98688656860134e-267,2.61561981192564,0.946,0.11,4.98032987285611e-263
134,13,CENPE,1.37330724688609e-274,2.58038174448662,0.925,0.1,3.44233194504468e-270
135,13,AC091057.6,3.02800694366336e-296,2.57623287498985,0.957,0.103,7.59000220498659e-292
136,13,NUSAP1,6.6635564927937e-304,2.52779099920041,0.989,0.107,1.67028707048367e-299
137,13,KNL1,0,2.50652537407904,0.973,0.094,0
138,13,TOP2A,1.05167370959451e-213,2.39962506970245,0.995,0.165,2.6361253204696e-209
139,13,TPX2,0,2.36325960468981,0.973,0.093,0
140,13,KIF4A,0,2.35344365155111,0.957,0.075,0
141,14,NRXN3,7.79335977576071e-72,1.61278834473433,1,0.639,1.95348356139218e-67
142,14,ERBB4,1.74515582899951e-64,1.50020546607648,1,0.762,4.37440760097018e-60
143,14,ADARB2,4.71380129759215e-60,1.49006563651393,0.626,0.165,1.18156143325445e-55
144,14,DLX6-AS1,7.20469871139862e-87,1.3479084745219,0.978,0.299,1.80592977899918e-82
145,14,PDZRN3,9.28814493391086e-66,1.25931926337795,0.838,0.274,2.3281664091341e-61
146,14,ZNF536,1.14369824325945e-79,1.2383918294046,0.922,0.27,2.86679401655413e-75
147,14,NXPH1,2.07515393589259e-34,1.10521411823509,0.508,0.161,5.20158085570836e-30
148,14,DSCAML1,1.12630451352576e-47,1.09883226356261,0.972,0.504,2.82319489360366e-43
149,14,ST8SIA5,7.03200480714024e-102,1.09713632328156,0.726,0.128,1.76264232495777e-97
150,14,THRB,1.79520968022239e-57,1.08615472369762,0.682,0.188,4.49987258444544e-53
151,15,SAMD4A,4.81231033836036e-120,3.01739633111285,0.972,0.328,1.20625370941341e-115
152,15,SHROOM3,9.90584910600212e-106,2.6608522894238,0.983,0.455,2.48300013691049e-101
153,15,ST5,8.60823884072105e-166,2.62892507940088,0.86,0.153,2.15774114781514e-161
154,15,BOC,6.74290610796711e-132,2.56193675918783,0.978,0.264,1.69017684502304e-127
155,15,WWC1,2.42078474710535e-94,2.5003657364443,0.899,0.335,6.06793904709427e-90
156,15,FBXO32,2.63359249160132e-93,2.42151247389702,0.607,0.12,6.60136293944787e-89
157,15,LIPG,2.12095976295253e-160,2.38848718736126,0.899,0.169,5.31639774181682e-156
158,15,PCSK6,3.31701581236317e-203,2.30042288976353,0.646,0.058,8.31443183526953e-199
159,15,LTBP1,2.34540672778678e-106,2.29588882279274,0.983,0.41,5.87899650387035e-102
160,15,FAM182B,1.90329460736441e-120,2.11709322113908,0.921,0.245,4.77079826281962e-116
161,16,KCNQ5,2.03570086906931e-138,3.63277964786466,0.949,0.208,5.10268779840913e-134
162,16,RALYL,1.54206386745344e-85,3.13603645818654,0.942,0.401,3.8653372901588e-81
163,16,LRRC4C,5.25934125464352e-85,2.77789245527627,0.899,0.256,1.31830647888894e-80
164,16,CCBE1,3.56940541878613e-159,2.55237132015903,0.877,0.122,8.9470716227293e-155
165,16,FAM19A1,3.69422788743118e-69,2.45969927813436,0.812,0.248,9.25995162263498e-65
166,16,LDB2,8.03324651554746e-74,2.3544297844603,0.913,0.376,2.01361357158713e-69
167,16,RUNX1T1,2.12386299137427e-54,2.34586696907933,0.935,0.503,5.32367497417874e-50
168,16,GRM7,5.33689703193215e-68,2.3364052875857,0.841,0.28,1.33774661002411e-63
169,16,CALN1,3.55348039702548e-155,2.32077800687036,0.913,0.132,8.90715396318408e-151
170,16,IQCJ-SCHIP1,2.69615282956951e-54,2.28768600172786,0.717,0.214,6.75817668259894e-50
171,17,KIF26B,8.89774849589845e-44,3.07492825643221,1,0.565,2.2303096379819e-39
172,17,TMEM132D,2.34410851000146e-31,2.89070110753993,0.671,0.195,5.87574239116967e-27
173,17,DAPK2,7.00056604988577e-49,1.91928388719805,0.737,0.161,1.75476188606437e-44
174,17,STK3,6.75548996604049e-40,1.91047402279961,0.816,0.229,1.69333111488771e-35
175,17,DLEU2,5.05283667058958e-27,1.7951673053173,0.974,0.657,1.26654403984998e-22
176,17,NKAIN3,2.15210848685163e-34,1.73394229776875,1,0.949,5.39447513314231e-30
177,17,ZMIZ1,3.62670796540361e-29,1.69579003083077,0.961,0.57,9.09070618608069e-25
178,17,SYNE2,3.31156684394031e-36,1.62674631454289,1,0.837,8.30077345102077e-32
179,17,CDH23,3.77146940921423e-36,1.59834641131464,0.487,0.088,9.45356522113639e-32
180,17,LTBP1,1.37863490419036e-30,1.58301929278186,0.961,0.419,3.45568625084356e-26
181,18,PCDH15,7.62007840712443e-148,4.60964330114265,0.849,0.072,1.91004885352981e-143
182,18,AC007402.1,1.38091575332246e-58,4.4510484473911,0.658,0.108,3.46140342727808e-54
183,18,LHFPL3,1.32631865256664e-59,3.99711163482191,0.945,0.29,3.32455033452353e-55
184,18,LRRC4C,4.07368324121504e-53,3.65125977795576,0.89,0.262,1.02110944124296e-48
185,18,CSMD1,1.34138576265339e-57,3.43031052512193,0.986,0.351,3.362317552667e-53
186,18,OPCML,7.90334115080418e-33,3.234331112629,0.808,0.316,1.98105149286058e-28
187,18,LUZP2,2.33776814670644e-91,3.23032119673137,0.89,0.135,5.85984963653437e-87
188,18,SH3D19,6.67717905567536e-111,3.10721377284386,0.945,0.129,1.67370170209558e-106
189,18,EPN2,5.05525507733818e-48,3.01175402131937,1,0.528,1.26715023768559e-43
190,18,CA10,8.03272884109556e-94,2.97454448654491,0.438,0.027,2.01348381130901e-89
191,19,GALNTL6,4.22618166611978e-55,4.6182397311516,0.784,0.09,1.05933469642958e-50
192,19,GABRG3,1.00416861894301e-56,3.25916325497883,0.811,0.088,2.51704906024256e-52
193,19,DLGAP2,5.32930172183959e-53,3.09274685019552,0.865,0.11,1.33584276959631e-48
194,19,TRPM3,4.08171288275378e-42,2.92647347080955,0.946,0.167,1.02312215119106e-37
195,19,TENM2,8.79262686229409e-28,2.86167390635622,0.946,0.26,2.20395984930264e-23
196,19,ADARB2,1.19720193191343e-12,2.84766225805141,0.568,0.175,3.0009063625342e-08
197,19,GRIK2,2.95656351725263e-24,2.83348789623169,0.973,0.417,7.41092211234544e-20
198,19,ZNF385D,2.38720382687145e-28,2.79474676978391,0.919,0.222,5.98376511243598e-24
199,19,CHRM3,2.79635059068107e-42,2.69602719128847,0.73,0.095,7.00933239060116e-38
200,19,SHISA6,5.56014209924902e-56,2.63283461576002,0.757,0.077,1.39370521859776e-51
201,20,LGMN,6.4478554646656e-80,5.08158655392308,1,0.056,1.61621945077308e-75
202,20,SPP1,7.09525097374675e-214,5.08089257277901,1,0.018,1.77849560907936e-209
203,20,PLXDC2,9.33038738187892e-29,4.87170449460094,1,0.187,2.33875490114177e-24
204,20,LRMDA,4.50157855572219e-169,4.80714197928483,1,0.024,1.12836568077732e-164
205,20,SFMBT2,2.11314599418625e-23,4.52217788010601,1,0.257,5.29681174902726e-19
206,20,CTSB,4.4631532890797e-68,4.42423360153009,1,0.067,1.11873400344072e-63
207,20,DOCK8,4.30154047165173e-211,4.14901124347497,0.95,0.016,1.07822413462422e-206
208,20,NEAT1,1.44701404491452e-28,4.05871157592458,1,0.185,3.62708540498274e-24
209,20,CSF2RA,0,4.02039382811402,1,0.003,0
210,20,GNG7,1.62000534463228e-35,3.94058336518703,0.95,0.121,4.06070539685527e-31
